days,cp,moneyness,t0,annual,ndiv,exdate_inside,reference,scalar_bp,matched_bp,schedule_bp
60,call,1.1,0.02,0.02,1,true,10.364121233866662,130.50179422749125,1.391326808271428,0.06784581390407582
60,call,1.1,0.02,0.04,1,true,9.977385099801694,251.4018759789537,74.6908606188199,1.2431440936668199
60,call,1.1,0.1,0.02,1,true,10.468704173825124,32.18006794046238,98.52472986412306,1.5873374007346202
60,call,1.1,0.1,0.04,1,true,10.346073966153385,83.54402190288636,258.7816448694989,2.7296035749359198
60,call,1.1,0.2,0.02,0,false,10.77413921390103,264.36113419885726,0.011016402835914265,0.011016402835914265
60,call,1.1,0.2,0.04,0,false,10.77413921390103,506.8774860825569,0.011016402835914265,0.011016402835914265
60,put,0.9,0.02,0.02,1,true,12.265850939853689,227.86372230497048,145.16418132169238,0.3106740529451614
60,put,0.9,0.02,0.04,1,true,12.684801627658498,459.3547580711334,220.0522235781837,0.31275030225871137
60,put,0.9,0.1,0.02,1,true,12.203388483541541,171.78248931486806,89.89511773485184,0.04691579203928064
60,put,0.9,0.1,0.04,1,true,12.62091088368231,399.31842031615685,162.5275423362602,0.040915077215952236
60,put,0.9,0.2,0.02,0,false,11.853638046247866,136.25566008010568,0.33752512378078253,0.33752512378078253
60,put,0.9,0.2,0.04,0,false,11.853638046247866,293.8112745227751,0.33752512378078253,0.33752512378078253
60,put,1.0,0.02,0.02,1,true,4.477297436575239,68.87192616877758,25.65654477794263,0.15011543221769363
60,put,1.0,0.02,0.04,1,true,4.724246595734052,139.1540668053283,38.21663775957286,0.11492352322648182
60,put,1.0,0.1,0.02,1,true,4.482489803248376,72.10580549461297,29.300262896038934,0.1593209830862574
60,put,1.0,0.1,0.04,1,true,4.738974873498961,148.35114609162778,48.392327786883605,0.11466601296883787
60,put,1.0,0.2,0.02,0,false,4.2394176300848745,79.22990562935334,0.17289079625575085,0.17289079625575085
60,put,1.0,0.2,0.04,0,false,4.2394176300848745,163.09589327473293,0.17289079625575085,0.17289079625575085
60,put,1.1,0.02,0.02,1,true,1.1864924700164423,35.339965549913785,8.386356819478188,0.16524287982258248
60,put,1.1,0.02,0.04,1,true,1.2830300271569042,71.38251951028627,12.958658208752535,0.08974575611774491
