case,cp,S,K,r,q,sigma,T,american,european,diff,diff_bp
q=0 call,call,100.0,100.0,0.0,0.0,0.15,2.0,8.447002554896823,8.447002662322816,-1.0742599343416259e-7,1.9148167655233694e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.15,2.0,10.388140907675009,10.388141006619293,-9.894428387724474e-8,1.831535044381298e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.15,2.0,13.676723182749994,13.676723249350488,-6.660049400863954e-8,1.3946491288703541e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.15,2.0,17.32708367111966,17.327083693869604,-2.274994415074616e-8,5.838138434777669e-6
q=0 call,call,100.0,100.0,0.0,0.0,0.3,2.0,16.79959693438036,16.79959714273636,-2.0835599912061298e-7,3.7770485881530274e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.3,2.0,18.50280840613906,18.50280860722713,-2.0108807063934364e-7,3.7355018581356496e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.3,2.0,21.19373507579097,21.193735255280203,-1.7948923414223827e-7,3.5169275872232964e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.3,2.0,24.024674601953414,24.024674749538427,-1.4758501265532686e-7,3.1118276885593645e-5
q=0 call,call,100.0,100.0,0.0,0.0,0.6,2.0,32.86267557811185,32.86267594591274,-3.678008937413324e-7,7.133032781727949e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.6,2.0,34.21261122240378,34.21261158146497,-3.5906118966977374e-7,7.11210802187996e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.6,2.0,36.261330366788556,36.26133070787507,-3.4108651192354955e-7,7.002556853468386e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.6,2.0,38.3325016656519,38.332501983630024,-3.1797812738432185e-7,6.800221147324953e-5
q=0 call,call,100.0,86.95652173913044,0.0,0.0,0.15,0.0821917808219178,13.044094556001212,13.044094554766886,1.2343264188530156e-9,NaN
q=0 call,call,100.0,86.95652173913044,0.02,0.0,0.15,0.0821917808219178,13.186836193404389,13.186836192294066,1.110322500608163e-9,NaN
q=0 call,call,100.0,86.95652173913044,0.05,0.0,0.15,0.0821917808219178,13.400528431987278,13.400528431039817,9.474607765014298e-10,NaN
q=0 call,call,100.0,86.95652173913044,0.08,0.0,0.15,0.0821917808219178,13.613713912597127,13.613713911800133,7.969944704200316e-10,NaN
q=0 call,call,100.0,86.95652173913044,0.0,0.0,0.3,0.0821917808219178,13.219050342594256,13.219050318343932,2.4250324415220348e-8,8.52213709001809e-5
q=0 call,call,100.0,86.95652173913044,0.02,0.0,0.3,0.0821917808219178,13.353913294354626,13.353913270081222,2.4273404619634675e-8,8.808183326381966e-5
q=0 call,call,100.0,86.95652173913044,0.05,0.0,0.3,0.0821917808219178,13.556355151332212,13.556355127083322,2.4248890895250952e-8,9.239150063393793e-5
q=0 call,call,100.0,86.95652173913044,0.08,0.0,0.3,0.0821917808219178,13.758944890602875,13.758944866382109,2.4220765837412728e-8,9.697715936368824e-5
q=0 call,call,100.0,86.95652173913044,0.0,0.0,0.6,0.0821917808219178,14.925408057215964,14.925408068614061,-1.1398096688708392e-8,1.4921568370669023e-5
q=0 call,call,100.0,86.95652173913044,0.02,0.0,0.6,0.0821917808219178,15.03505351177299,15.03505352195792,-1.0184930232526312e-8,1.3448971779356135e-5
q=0 call,call,100.0,86.95652173913044,0.05,0.0,0.6,0.0821917808219178,15.199960185783805,15.199960194195143,-8.411337404368169e-9,1.1253659604869141e-5
q=0 call,call,100.0,86.95652173913044,0.08,0.0,0.6,0.0821917808219178,15.365381092146734,15.365381098778585,-6.631850624216895e-9,8.991877698779659e-6
q=0 call,call,100.0,86.95652173913044,0.0,0.0,0.15,0.2493150684931507,13.127717310324865,13.127717290045666,2.0279198764683315e-8,6.23100378466613e-5
q=0 call,call,100.0,86.95652173913044,0.02,0.0,0.15,0.2493150684931507,13.546676525170458,13.546676505670433,1.9500024706076147e-8,6.816182923251035e-5
q=0 call,call,100.0,86.95652173913044,0.05,0.0,0.15,0.2493150684931507,14.174694351907485,14.17469433379604,1.811144478836013e-8,7.74580670702807e-5
q=0 call,call,100.0,86.95652173913044,0.08,0.0,0.15,0.2493150684931507,14.801526211923154,14.80152619543,1.6493153509600234e-8,8.716774076531244e-5
q=0 call,call,100.0,86.95652173913044,0.0,0.0,0.3,0.2493150684931507,14.36114355803683,14.36114355519804,2.8387887596181827e-9,2.3683740866614674e-6
q=0 call,call,100.0,86.95652173913044,0.02,0.0,0.3,0.2493150684931507,14.711104861298168,14.711104855138387,6.1597802414326e-9,5.3173374972156544e-6
